  PID TTY      STAT   TIME COMMAND
 1098 ?        Ss     0:00 /lib/systemd/systemd --user
 1099 ?        S      0:00 (sd-pam)
 1197 ?        SLl    0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 1197 ?        SLl    0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 1197 ?        SLl    0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 1197 ?        SLl    0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 1201 tty1     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1201 tty1     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1201 tty1     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1203 tty1     Rl+    1:21 /usr/lib/xorg/Xorg vt1 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
 1203 tty1     Sl+    0:02 /usr/lib/xorg/Xorg vt1 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
 1301 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1304 tty1     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 1304 tty1     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 1304 tty1     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 1304 tty1     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 1378 tty1     Z+     0:00 [xbrlapi] <defunct>
 1397 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1399 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1399 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1399 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1399 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1404 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1406 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1406 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1406 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1423 tty1     Sl+    2:14 /usr/bin/gnome-shell
 1423 tty1     Sl+    0:00 /usr/bin/gnome-shell
 1423 tty1     Sl+    0:00 /usr/bin/gnome-shell
 1423 tty1     Sl+    0:01 /usr/bin/gnome-shell
 1423 tty1     Sl+    0:00 /usr/bin/gnome-shell
